Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
23,All,1993-02-14,1991,198.0,Larry Johnson,F,1993,1,Charlotte Hornets,113.0,1.0
25,All,1993-02-07,1989,198.0,Nick Anderson,GF,1993,3,Orlando Magic,103.0,1.0
29,All,1993-01-31,1985,206.0,Karl Malone,PF,1993,7,Utah Jazz,120.0,1.0
30,All,1993-01-24,1985,213.0,Patrick Ewing,C,1993,7,New York Knicks,109.0,1.0
30,All,1993-01-17,1984,213.0,Hakeem Olajuwon,C,1993,8,Houston Rockets,116.0,1.0
23,All,1993-01-10,1989,208.0,Shawn Kemp,C,1993,3,Seattle SuperSonics,127.0,1.0
27,All,1993-01-03,1987,216.0,David Robinson,C,1993,3,San Antonio Spurs,113.0,1.0
25,All,1992-12-27,1989,203.0,Sean Elliott,SF,1993,3,San Antonio Spurs,93.0,1.0
30,All,1992-12-20,1985,213.0,Patrick Ewing,C,1993,7,New York Knicks,109.0,1.0
30,All,1992-12-13,1984,198.0,Charles Barkley,PF,1993,8,Phoenix Suns,114.0,1.0
28,All,1992-12-06,1986,196.0,Drazen Petrovic,SG,1993,3,New Jersey Nets,91.0,1.0
27,All,1992-11-29,1987,216.0,David Robinson,C,1993,3,San Antonio Spurs,113.0,1.0
30,All,1992-11-22,1984,198.0,Michael Jordan,SG,1993,8,Chicago Bulls,98.0,1.0
20,All,1992-11-15,1992,216.0,Shaquille O'Neal,C,1993,0,Orlando Magic,147.0,1.0
28,All,1994-04-24,1987,216.0,David Robinson,C,1994,4,San Antonio Spurs,113.0,1.0
28,All,1994-04-17,1987,203.0,Scottie Pippen,SF,1994,6,Chicago Bulls,103.0,1.0
27,All,1994-04-10,1991,218.0,Dikembe Mutombo,C,1994,2,Denver Nuggets,118.0,1.0
24,All,1994-04-03,1989,208.0,Shawn Kemp,C,1994,4,Seattle SuperSonics,127.0,1.0
31,All,1994-03-27,1984,213.0,Kevin Willis,C,1994,9,Atlanta Hawks,111.0,1.0
31,All,1994-03-20,1984,213.0,Hakeem Olajuwon,C,1994,9,Houston Rockets,116.0,1.0
30,All,1994-03-13,1985,190.0,Joe Dumars,SG,1994,8,Detroit Pistons,86.0,1.0
28,All,1994-03-06,1987,216.0,David Robinson,C,1994,4,San Antonio Spurs,113.0,1.0
24,All,1994-02-27,1989,208.0,Shawn Kemp,C,1994,4,Seattle SuperSonics,127.0,1.0
28,All,1994-02-20,1987,216.0,David Robinson,C,1994,4,San Antonio Spurs,113.0,1.0
28,All,1994-02-06,1987,216.0,David Robinson,C,1994,4,San Antonio Spurs,113.0,1.0
30,All,1994-01-30,1986,198.0,Ron Harper,SG,1994,7,Los Angeles Clippers,84.0,1.0
23,All,1994-01-23,1991,183.0,Kenny Anderson,PG,1994,2,New Jersey Nets,76.0,1.0
31,All,1994-01-16,1985,213.0,Patrick Ewing,C,1994,8,New York Knicks,109.0,1.0
20,All,1994-01-09,1993,206.0,Chris Webber,F-C,1994,0,Golden State Warriors,111.0,1.0
23,All,1994-01-02,1992,206.0,Oliver Miller,C,1994,1,Phoenix Suns,127.0,1.0
28,All,1993-12-26,1987,203.0,Scottie Pippen,SF,1994,6,Chicago Bulls,103.0,1.0
30,All,1993-12-19,1985,206.0,Karl Malone,PF,1994,8,Utah Jazz,120.0,1.0
21,All,1993-12-12,1992,216.0,Shaquille O'Neal,C,1994,1,Orlando Magic,147.0,1.0
28,All,1993-12-05,1987,216.0,David Robinson,C,1994,4,San Antonio Spurs,113.0,1.0
26,All,1993-11-28,1989,203.0,Glen Rice,SF,1994,4,Miami Heat,103.0,1.0
31,All,1993-11-21,1984,198.0,Charles Barkley,PF,1994,9,Phoenix Suns,114.0,1.0
31,All,1993-11-14,1984,213.0,Hakeem Olajuwon,C,1994,9,Houston Rockets,116.0,1.0
31,All,1995-04-23,1985,206.0,Karl Malone,PF,1995,9,Utah Jazz,120.0,1.0
28,All,1995-04-16,1991,218.0,Dikembe Mutombo,C,1995,3,Denver Nuggets,118.0,1.0
32,All,1995-04-09,1983,201.0,Clyde Drexler,SG,1995,11,Houston Rockets,95.0,1.0
